@W: CD280 :"C:\dev\Apple_IIe_MMU_3V3\firmware\CUSTOM\MMU.vhdl":41:18:41:25|Unbound component SB_IO_OD mapped to black box
@W: CL167 :"C:\dev\Apple_IIe_MMU_3V3\firmware\CUSTOM\MMU.vhdl":667:4:667:14|Input inputclk of instance U_R_W_N_245 is floating
@W: CL167 :"C:\dev\Apple_IIe_MMU_3V3\firmware\CUSTOM\MMU.vhdl":667:4:667:14|Input outputclk of instance U_R_W_N_245 is floating
@W: CL167 :"C:\dev\Apple_IIe_MMU_3V3\firmware\CUSTOM\MMU.vhdl":650:4:650:8|Input dout1 of instance U_MD7 is floating
@W: CL167 :"C:\dev\Apple_IIe_MMU_3V3\firmware\CUSTOM\MMU.vhdl":650:4:650:8|Input clockenable of instance U_MD7 is floating
@W: CL167 :"C:\dev\Apple_IIe_MMU_3V3\firmware\CUSTOM\MMU.vhdl":650:4:650:8|Input latchinputvalue of instance U_MD7 is floating
@W: CL167 :"C:\dev\Apple_IIe_MMU_3V3\firmware\CUSTOM\MMU.vhdl":650:4:650:8|Input inputclk of instance U_MD7 is floating
@W: CL167 :"C:\dev\Apple_IIe_MMU_3V3\firmware\CUSTOM\MMU.vhdl":650:4:650:8|Input outputclk of instance U_MD7 is floating
@W: CL246 :"C:\dev\Apple_IIe_MMU_3V3\firmware\sources\MMU\DEV_DECODER.vhdl":18:8:18:8|Input port bits 15 to 8 of a(15 downto 0) are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"C:\dev\Apple_IIe_MMU_3V3\firmware\sources\MMU\DEV_DECODER.vhdl":18:8:18:8|Input port bits 3 to 0 of a(15 downto 0) are unused. Assign logic for all port bits or change the input port size.

